dataset,prec_50,rec_50,f1_50,prec_60,rec_60,f1_60,prec_70,rec_70,f1_70,prec_80,rec_80,f1_80,prec_90,rec_90,f1_90,prec_100,rec_100,f1_100
SEIR015_sl1000_mr025_nv5_6,0.683,0.452,0.544,0.711,0.435,0.54,0.676,0.371,0.479,0.63,0.274,0.382,0.6,0.242,0.345,0.6,0.242,0.345
SEIR015_sl1000_mr025_nv5_7,0.773,0.654,0.708,0.789,0.577,0.667,0.833,0.385,0.526,0.8,0.308,0.444,0.8,0.308,0.444,0.8,0.308,0.444
SEIR015_sl1000_mr025_nv5_8,0.812,0.565,0.667,0.812,0.565,0.667,0.769,0.435,0.556,0.8,0.348,0.485,0.8,0.348,0.485,0.8,0.348,0.485
SEIR015_sl1000_mr025_nv5_9,0.595,0.55,0.571,0.629,0.55,0.587,0.613,0.475,0.535,0.696,0.4,0.508,0.682,0.375,0.484,0.682,0.375,0.484
SEIR015_sl1000_mr05_nv10_1,0.667,0.588,0.625,0.643,0.529,0.581,0.615,0.471,0.533,0.545,0.353,0.429,0.545,0.353,0.429,0.545,0.353,0.429
SEIR015_sl1000_mr05_nv10_10,0.8,0.889,0.842,0.8,0.889,0.842,0.8,0.889,0.842,0.8,0.889,0.842,0.8,0.889,0.842,0.8,0.889,0.842
SEIR015_sl1000_mr05_nv10_11,0.375,0.375,0.375,0.429,0.375,0.4,0.429,0.375,0.4,0.6,0.375,0.462,0.6,0.375,0.462,0.6,0.375,0.462
SEIR015_sl1000_mr05_nv10_12,0.727,1,0.842,0.727,1,0.842,0.727,1,0.842,0.667,0.75,0.706,0.625,0.625,0.625,0.625,0.625,0.625
SEIR015_sl1000_mr05_nv10_13,0.942,0.803,0.867,0.96,0.787,0.865,0.957,0.721,0.822,0.952,0.656,0.777,0.95,0.623,0.752,0.95,0.623,0.752
SEIR015_sl1000_mr05_nv10_14,0.703,0.565,0.627,0.774,0.522,0.623,0.731,0.413,0.528,0.722,0.283,0.406,0.765,0.283,0.413,0.765,0.283,0.413
SEIR015_sl1000_mr05_nv10_15,0.7,0.636,0.667,0.625,0.455,0.526,0.4,0.182,0.25,0.25,0.091,0.133,0.333,0.091,0.143,0.333,0.091,0.143
SEIR015_sl1000_mr05_nv10_16,0.875,0.854,0.864,0.872,0.829,0.85,0.906,0.707,0.795,1,0.634,0.776,1,0.634,0.776,1,0.634,0.776
SEIR015_sl1000_mr05_nv10_17,0.735,0.725,0.73,0.762,0.696,0.727,0.764,0.609,0.677,0.733,0.478,0.579,0.775,0.449,0.569,0.795,0.449,0.574
SEIR015_sl1000_mr05_nv10_18,0.756,0.829,0.791,0.762,0.78,0.771,0.7,0.512,0.592,0.76,0.463,0.576,0.783,0.439,0.562,0.783,0.439,0.562
SEIR015_sl1000_mr05_nv10_19,0.758,0.781,0.769,0.8,0.75,0.774,0.778,0.656,0.712,0.75,0.562,0.643,0.857,0.562,0.679,0.842,0.5,0.627
SEIR015_sl1000_mr05_nv10_2,0.931,0.643,0.761,0.929,0.619,0.743,0.905,0.452,0.603,0.882,0.357,0.508,0.867,0.31,0.456,0.867,0.31,0.456
SEIR015_sl1000_mr05_nv10_20,0.458,0.268,0.338,0.5,0.244,0.328,0.529,0.22,0.31,0.417,0.122,0.189,0.455,0.122,0.192,0.556,0.122,0.2
SEIR015_sl1000_mr05_nv10_3,0.868,0.821,0.844,0.882,0.804,0.841,0.872,0.732,0.796,0.907,0.696,0.788,0.927,0.679,0.784,0.927,0.679,0.784
SEIR015_sl1000_mr05_nv10_4,0.576,0.594,0.585,0.548,0.531,0.54,0.48,0.375,0.421,0.476,0.312,0.377,0.476,0.312,0.377,0.476,0.312,0.377
SEIR015_sl1000_mr05_nv10_5,0.7,0.636,0.667,0.7,0.636,0.667,0.75,0.545,0.632,0.75,0.545,0.632,0.75,0.545,0.632,0.75,0.545,0.632
SEIR015_sl1000_mr05_nv10_6,0.81,0.567,0.667,0.81,0.567,0.667,0.833,0.5,0.625,0.882,0.5,0.638,0.875,0.467,0.609,0.875,0.467,0.609
SEIR015_sl1000_mr05_nv10_7,0.529,0.692,0.6,0.562,0.692,0.621,0.6,0.692,0.643,0.643,0.692,0.667,0.583,0.538,0.56,0.583,0.538,0.56
SEIR015_sl1000_mr05_nv10_8,0.788,0.722,0.754,0.788,0.722,0.754,0.806,0.694,0.746,0.793,0.639,0.708,0.786,0.611,0.688,0.786,0.611,0.688
SEIR015_sl1000_mr05_nv10_9,0.923,0.8,0.857,0.923,0.8,0.857,0.889,0.533,0.667,0.875,0.467,0.609,1,0.467,0.636,1,0.4,0.571
SEIR015_sl250_mr025_nv10_1,0.652,0.882,0.75,0.652,0.882,0.75,0.636,0.824,0.718,0.667,0.706,0.686,0.647,0.647,0.647,0.647,0.647,0.647
SEIR015_sl250_mr025_nv10_10,0.403,0.458,0.429,0.397,0.424,0.41,0.44,0.373,0.404,0.432,0.322,0.369,0.486,0.305,0.375,0.486,0.305,0.375
SEIR015_sl250_mr025_nv10_11,0.5,0.529,0.514,0.5,0.5,0.5,0.469,0.441,0.455,0.481,0.382,0.426,0.481,0.382,0.426,0.481,0.382,0.426
SEIR015_sl250_mr025_nv10_12,0.5,0.721,0.59,0.492,0.674,0.569,0.551,0.628,0.587,0.649,0.558,0.6,0.629,0.512,0.564,0.667,0.512,0.579
SEIR015_sl250_mr025_nv10_13,0.8,0.75,0.774,0.8,0.75,0.774,0.769,0.625,0.69,0.833,0.625,0.714,0.833,0.625,0.714,0.833,0.625,0.714
SEIR015_sl250_mr025_nv10_14,0.447,0.68,0.54,0.455,0.6,0.517,0.448,0.52,0.481,0.455,0.4,0.426,0.4,0.32,0.356,0.4,0.32,0.356
SEIR015_sl250_mr025_nv10_15,0.736,0.796,0.765,0.745,0.776,0.76,0.75,0.673,0.71,0.744,0.653,0.696,0.744,0.653,0.696,0.738,0.633,0.681
SEIR015_sl250_mr025_nv10_16,0.191,0.333,0.243,0.214,0.333,0.261,0.216,0.296,0.25,0.229,0.296,0.258,0.226,0.259,0.241,0.222,0.222,0.222
SEIR015_sl250_mr025_nv10_17,0.714,0.417,0.526,0.714,0.417,0.526,0.714,0.417,0.526,0.667,0.333,0.444,0.6,0.25,0.353,0.6,0.25,0.353
SEIR015_sl250_mr025_nv10_18,0.278,0.455,0.345,0.312,0.455,0.37,0.357,0.455,0.4,0.364,0.364,0.364,0.3,0.273,0.286,0.3,0.273,0.286
SEIR015_sl250_mr025_nv10_19,0.515,0.459,0.486,0.552,0.432,0.485,0.636,0.378,0.475,0.6,0.243,0.346,0.6,0.243,0.346,0.6,0.243,0.346
SEIR015_sl250_mr025_nv10_2,0.3,0.273,0.286,0.294,0.227,0.256,0.312,0.227,0.263,0.357,0.227,0.278,0.357,0.227,0.278,0.308,0.182,0.229
SEIR015_sl250_mr025_nv10_20,0.675,0.818,0.74,0.658,0.758,0.704,0.697,0.697,0.697,0.759,0.667,0.71,0.778,0.636,0.7,0.769,0.606,0.678
SEIR015_sl250_mr025_nv10_3,0.524,0.733,0.611,0.579,0.733,0.647,0.529,0.6,0.562,0.533,0.533,0.533,0.538,0.467,0.5,0.583,0.467,0.519
SEIR015_sl250_mr025_nv10_4,0.731,0.76,0.745,0.75,0.72,0.735,0.739,0.68,0.708,0.773,0.68,0.723,0.773,0.68,0.723,0.773,0.68,0.723
SEIR015_sl250_mr025_nv10_5,0.75,0.75,0.75,0.75,0.75,0.75,0.714,0.625,0.667,0.833,0.625,0.714,0.833,0.625,0.714,0.833,0.625,0.714
SEIR015_sl250_mr025_nv10_6,0.605,0.657,0.63,0.605,0.657,0.63,0.6,0.514,0.554,0.6,0.429,0.5,0.6,0.429,0.5,0.591,0.371,0.456
SEIR015_sl250_mr025_nv10_7,0.333,0.375,0.353,0.333,0.375,0.353,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
SEIR015_sl250_mr025_nv10_8,0.8,0.741,0.769,0.8,0.741,0.769,0.773,0.63,0.694,0.765,0.481,0.591,0.765,0.481,0.591,0.765,0.481,0.591
SEIR015_sl250_mr025_nv10_9,0.533,0.533,0.533,0.615,0.533,0.571,0.6,0.4,0.48,0.5,0.267,0.348,0.571,0.267,0.364,0.571,0.267,0.364
SEIR015_sl500_mr025_nv10_1,0.545,0.6,0.571,0.6,0.6,0.6,0.714,0.5,0.588,0.714,0.5,0.588,0.714,0.5,0.588,0.714,0.5,0.588
SEIR015_sl500_mr025_nv10_10,0.878,0.837,0.857,0.872,0.791,0.829,0.897,0.605,0.722,0.885,0.535,0.667,0.885,0.535,0.667,0.885,0.535,0.667
SEIR015_sl500_mr025_nv10_11,0.375,0.375,0.375,0.429,0.375,0.4,0.429,0.375,0.4,0.6,0.375,0.462,0.6,0.375,0.462,0.6,0.375,0.462
SEIR015_sl500_mr025_nv10_12,0.744,0.604,0.667,0.756,0.585,0.66,0.735,0.472,0.575,0.741,0.377,0.5,0.76,0.358,0.487,0.76,0.358,0.487
SEIR015_sl500_mr025_nv10_13,0.485,0.571,0.525,0.516,0.571,0.542,0.565,0.464,0.51,0.545,0.429,0.48,0.632,0.429,0.511,0.647,0.393,0.489
SEIR015_sl500_mr025_nv10_14,1,0.889,0.941,1,0.889,0.941,1,0.889,0.941,1,0.778,0.875,1,0.778,0.875,1,0.778,0.875
SEIR015_sl500_mr025_nv10_15,0.811,0.741,0.775,0.843,0.741,0.789,0.919,0.586,0.716,0.909,0.517,0.659,0.909,0.517,0.659,0.909,0.517,0.659
SEIR015_sl500_mr025_nv10_16,0.667,0.667,0.667,0.667,0.667,0.667,0.6,0.5,0.545,0.556,0.417,0.476,0.556,0.417,0.476,0.556,0.417,0.476
SEIR015_sl500_mr025_nv10_17,0.765,0.929,0.839,0.765,0.929,0.839,0.75,0.857,0.8,0.8,0.857,0.828,0.8,0.857,0.828,0.8,0.857,0.828
SEIR015_sl500_mr025_nv10_18,0.765,0.5,0.605,0.75,0.462,0.571,0.733,0.423,0.537,0.667,0.231,0.343,0.667,0.231,0.343,0.667,0.231,0.343
SEIR015_sl500_mr025_nv10_19,0.875,0.7,0.778,0.875,0.7,0.778,0.875,0.7,0.778,0.875,0.7,0.778,0.875,0.7,0.778,0.875,0.7,0.778
SEIR015_sl500_mr025_nv10_2,0.625,0.625,0.625,0.625,0.625,0.625,0.6,0.375,0.462,0.5,0.25,0.333,0.5,0.25,0.333,0.5,0.25,0.333
SEIR015_sl500_mr025_nv10_20,0.77,0.734,0.752,0.8,0.688,0.739,0.809,0.594,0.685,0.854,0.547,0.667,0.868,0.516,0.647,0.868,0.516,0.647
SEIR015_sl500_mr025_nv10_3,0.758,0.676,0.714,0.781,0.676,0.725,0.769,0.541,0.635,0.739,0.459,0.567,0.81,0.459,0.586,0.81,0.459,0.586
SEIR015_sl500_mr025_nv10_4,0.444,0.488,0.465,0.465,0.488,0.476,0.375,0.293,0.329,0.423,0.268,0.328,0.423,0.268,0.328,0.44,0.268,0.333
SEIR015_sl500_mr025_nv10_5,0.812,0.929,0.867,0.857,0.857,0.857,0.889,0.571,0.696,0.889,0.571,0.696,0.889,0.571,0.696,0.889,0.571,0.696
SEIR015_sl500_mr025_nv10_6,0.75,0.789,0.769,0.75,0.789,0.769,0.75,0.789,0.769,0.75,0.789,0.769,0.75,0.789,0.769,0.75,0.789,0.769
SEIR015_sl500_mr025_nv10_7,0.673,0.532,0.595,0.744,0.516,0.61,0.743,0.419,0.536,0.793,0.371,0.505,0.852,0.371,0.517,0.917,0.355,0.512
SEIR015_sl500_mr025_nv10_8,0.712,0.701,0.707,0.746,0.701,0.723,0.756,0.507,0.607,0.743,0.388,0.51,0.75,0.358,0.485,0.742,0.343,0.469
SEIR015_sl500_mr025_nv10_9,0.583,0.636,0.609,0.636,0.636,0.636,0.875,0.636,0.737,0.875,0.636,0.737,0.875,0.636,0.737,0.875,0.636,0.737
SEIR01_sl1000_mr0125_nv10_1,0.765,0.722,0.743,0.765,0.722,0.743,0.846,0.611,0.71,0.846,0.611,0.71,0.846,0.611,0.71,0.846,0.611,0.71
SEIR01_sl1000_mr0125_nv10_10,0.9,0.833,0.865,0.917,0.815,0.863,0.929,0.722,0.813,0.949,0.685,0.796,0.949,0.685,0.796,0.949,0.685,0.796
SEIR01_sl1000_mr0125_nv10_11,0.923,0.923,0.923,0.923,0.923,0.923,0.917,0.846,0.88,0.909,0.769,0.833,0.909,0.769,0.833,0.909,0.769,0.833
SEIR01_sl1000_mr0125_nv10_12,0.333,0.2,0.25,0.5,0.2,0.286,1,0.2,0.333,1,0.2,0.333,1,0.2,0.333,1,0.2,0.333
SEIR01_sl1000_mr0125_nv10_13,0.818,0.9,0.857,0.818,0.9,0.857,0.818,0.9,0.857,0.818,0.9,0.857,0.818,0.9,0.857,0.818,0.9,0.857
SEIR01_sl1000_mr0125_nv10_14,0.967,0.967,0.967,0.967,0.967,0.967,0.962,0.833,0.893,0.962,0.833,0.893,0.962,0.833,0.893,0.962,0.833,0.893
SEIR01_sl1000_mr0125_nv10_15,0.864,0.792,0.826,0.857,0.75,0.8,0.929,0.542,0.684,1,0.458,0.629,1,0.458,0.629,1,0.458,0.629
SEIR01_sl1000_mr0125_nv10_16,0.857,0.857,0.857,0.857,0.857,0.857,0.75,0.429,0.545,0.667,0.286,0.4,0.667,0.286,0.4,0.667,0.286,0.4
SEIR01_sl1000_mr0125_nv10_17,0.769,0.833,0.8,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_18,0.86,0.822,0.841,0.902,0.822,0.86,0.949,0.822,0.881,0.946,0.778,0.854,0.946,0.778,0.854,0.946,0.778,0.854
SEIR01_sl1000_mr0125_nv10_19,0.889,0.8,0.842,0.923,0.8,0.857,0.957,0.733,0.83,0.952,0.667,0.784,0.952,0.667,0.784,0.952,0.667,0.784
SEIR01_sl1000_mr0125_nv10_2,0.923,0.923,0.923,0.917,0.846,0.88,0.952,0.769,0.851,0.944,0.654,0.773,0.944,0.654,0.773,0.944,0.654,0.773
SEIR01_sl1000_mr0125_nv10_20,0.889,0.96,0.923,0.917,0.88,0.898,0.917,0.88,0.898,0.955,0.84,0.894,0.955,0.84,0.894,0.955,0.84,0.894
SEIR01_sl1000_mr0125_nv10_3,0.889,0.842,0.865,0.886,0.816,0.849,0.867,0.684,0.765,0.852,0.605,0.708,0.852,0.605,0.708,0.852,0.605,0.708
SEIR01_sl1000_mr0125_nv10_4,0.9,0.75,0.818,0.895,0.708,0.791,0.895,0.708,0.791,0.882,0.625,0.732,0.882,0.625,0.732,0.882,0.625,0.732
SEIR01_sl1000_mr0125_nv10_5,0.872,0.872,0.872,0.891,0.872,0.882,0.927,0.809,0.864,0.946,0.745,0.833,0.972,0.745,0.843,1,0.745,0.854
SEIR01_sl1000_mr0125_nv10_6,0.951,0.812,0.876,0.95,0.792,0.864,0.971,0.688,0.805,0.966,0.583,0.727,0.966,0.583,0.727,0.966,0.583,0.727
SEIR01_sl1000_mr0125_nv10_7,0.973,0.923,0.947,0.972,0.897,0.933,0.969,0.795,0.873,0.968,0.769,0.857,0.968,0.769,0.857,0.968,0.769,0.857
SEIR01_sl1000_mr0125_nv10_8,0.667,0.667,0.667,0.6,0.5,0.545,0.6,0.5,0.545,0.5,0.333,0.4,0.5,0.333,0.4,0.5,0.333,0.4
SEIR01_sl1000_mr0125_nv10_9,0.915,0.915,0.915,0.953,0.872,0.911,0.971,0.702,0.815,0.968,0.638,0.769,0.968,0.638,0.769,0.968,0.638,0.769
SEIR01_sl1000_mr025_nv10_1,0.889,0.857,0.873,0.889,0.857,0.873,0.905,0.679,0.776,0.895,0.607,0.723,0.895,0.607,0.723,0.895,0.607,0.723
SEIR01_sl1000_mr025_nv10_10,0.7,0.778,0.737,0.7,0.778,0.737,0.875,0.778,0.824,0.875,0.778,0.824,0.875,0.778,0.824,0.875,0.778,0.824
SEIR01_sl1000_mr025_nv10_11,0.879,0.829,0.853,0.875,0.8,0.836,0.923,0.686,0.787,0.917,0.629,0.746,0.917,0.629,0.746,0.917,0.629,0.746
SEIR01_sl1000_mr025_nv10_12,0.667,0.75,0.706,0.714,0.625,0.667,0.714,0.625,0.667,1,0.625,0.769,1,0.625,0.769,1,0.625,0.769
SEIR01_sl1000_mr025_nv10_13,0.812,0.65,0.722,0.812,0.65,0.722,0.75,0.45,0.563,0.625,0.25,0.357,0.625,0.25,0.357,0.625,0.25,0.357
SEIR01_sl1000_mr025_nv10_14,0.857,0.882,0.87,0.853,0.853,0.853,0.852,0.676,0.754,0.88,0.647,0.746,0.88,0.647,0.746,0.88,0.647,0.746
SEIR01_sl1000_mr025_nv10_15,0.8,0.8,0.8,0.8,0.8,0.8,0.75,0.6,0.667,0.75,0.6,0.667,0.75,0.6,0.667,0.75,0.6,0.667
SEIR01_sl1000_mr025_nv10_16,0.923,0.857,0.889,0.921,0.833,0.875,0.966,0.667,0.789,1,0.571,0.727,1,0.571,0.727,1,0.571,0.727
SEIR01_sl1000_mr025_nv10_17,0.833,0.667,0.741,0.857,0.667,0.75,0.848,0.622,0.718,0.897,0.578,0.703,0.897,0.578,0.703,0.897,0.578,0.703
SEIR01_sl1000_mr025_nv10_18,0.778,0.778,0.778,0.875,0.778,0.824,0.875,0.778,0.824,0.875,0.778,0.824,0.875,0.778,0.824,0.875,0.778,0.824
SEIR01_sl1000_mr025_nv10_19,0.855,0.797,0.825,0.87,0.797,0.832,0.929,0.661,0.772,0.947,0.61,0.742,0.947,0.61,0.742,0.947,0.61,0.742
SEIR01_sl1000_mr025_nv10_2,0.875,0.955,0.913,0.875,0.955,0.913,0.9,0.818,0.857,0.889,0.727,0.8,0.889,0.727,0.8,0.889,0.727,0.8
SEIR01_sl1000_mr025_nv10_20,0.824,0.824,0.824,0.824,0.824,0.824,0.786,0.647,0.71,0.769,0.588,0.667,0.769,0.588,0.667,0.769,0.588,0.667
SEIR01_sl1000_mr025_nv10_3,0.84,0.857,0.848,0.833,0.816,0.825,0.872,0.694,0.773,0.941,0.653,0.771,0.941,0.653,0.771,0.941,0.653,0.771
SEIR01_sl1000_mr025_nv10_4,0.894,0.808,0.848,0.911,0.788,0.845,0.925,0.712,0.804,0.919,0.654,0.764,0.943,0.635,0.759,0.943,0.635,0.759
SEIR01_sl1000_mr025_nv10_5,0.905,0.864,0.884,0.925,0.841,0.881,0.946,0.795,0.864,0.971,0.773,0.861,0.971,0.75,0.846,0.971,0.75,0.846
SEIR01_sl1000_mr025_nv10_6,0.714,0.714,0.714,0.833,0.714,0.769,1,0.571,0.727,1,0.571,0.727,1,0.571,0.727,1,0.571,0.727
SEIR01_sl1000_mr025_nv10_7,0.806,0.725,0.763,0.8,0.7,0.747,0.875,0.7,0.778,0.9,0.675,0.771,0.9,0.675,0.771,0.9,0.675,0.771
SEIR01_sl1000_mr025_nv10_8,0.846,0.815,0.83,0.88,0.815,0.846,0.87,0.741,0.8,0.909,0.741,0.816,0.909,0.741,0.816,0.909,0.741,0.816
SEIR01_sl1000_mr025_nv10_9,0.854,0.745,0.795,0.85,0.723,0.782,0.886,0.66,0.756,0.909,0.638,0.75,0.906,0.617,0.734,0.906,0.617,0.734
SEIR01_sl1000_mr025_nv20_1,0.912,0.969,0.939,0.909,0.938,0.923,0.926,0.781,0.847,0.917,0.688,0.786,0.917,0.688,0.786,0.917,0.688,0.786
SEIR01_sl1000_mr025_nv20_10,0.857,0.667,0.75,0.857,0.667,0.75,0.8,0.444,0.571,0.8,0.444,0.571,0.8,0.444,0.571,0.8,0.444,0.571
SEIR01_sl1000_mr025_nv20_11,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv20_12,0.889,0.889,0.889,0.938,0.833,0.882,0.938,0.833,0.882,0.933,0.778,0.848,0.933,0.778,0.848,0.933,0.778,0.848
SEIR01_sl1000_mr025_nv20_13,0.873,0.828,0.85,0.923,0.828,0.873,0.917,0.759,0.83,0.936,0.759,0.838,0.957,0.759,0.846,0.957,0.759,0.846
SEIR01_sl1000_mr025_nv20_14,0.786,0.846,0.815,0.846,0.846,0.846,0.846,0.846,0.846,0.917,0.846,0.88,0.917,0.846,0.88,0.917,0.846,0.88
SEIR01_sl1000_mr025_nv20_15,0.913,0.913,0.913,0.95,0.826,0.884,0.941,0.696,0.8,0.938,0.652,0.769,0.938,0.652,0.769,0.938,0.652,0.769
SEIR01_sl1000_mr025_nv20_16,0.6,0.857,0.706,0.556,0.714,0.625,0.556,0.714,0.625,0.5,0.571,0.533,0.5,0.571,0.533,0.5,0.571,0.533
SEIR01_sl1000_mr025_nv20_17,0.88,0.88,0.88,0.875,0.84,0.857,0.95,0.76,0.844,0.947,0.72,0.818,0.947,0.72,0.818,0.947,0.72,0.818
SEIR01_sl1000_mr025_nv20_18,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885
SEIR01_sl1000_mr025_nv20_19,0.943,0.943,0.943,0.943,0.943,0.943,0.941,0.906,0.923,0.941,0.906,0.923,0.941,0.906,0.923,0.941,0.906,0.923
SEIR01_sl1000_mr025_nv20_2,0.907,0.929,0.918,0.907,0.929,0.918,0.938,0.714,0.811,0.933,0.667,0.778,0.933,0.667,0.778,0.933,0.667,0.778
SEIR01_sl1000_mr025_nv20_20,0.857,0.774,0.814,0.889,0.774,0.828,0.875,0.677,0.764,0.864,0.613,0.717,0.857,0.581,0.692,0.857,0.581,0.692
SEIR01_sl1000_mr025_nv20_3,0.864,0.905,0.884,0.864,0.905,0.884,0.842,0.762,0.8,0.833,0.714,0.769,0.833,0.714,0.769,0.833,0.714,0.769
SEIR01_sl1000_mr025_nv20_4,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv20_5,0.848,0.848,0.848,0.875,0.848,0.862,0.9,0.818,0.857,0.931,0.818,0.871,0.931,0.818,0.871,0.931,0.818,0.871
SEIR01_sl1000_mr025_nv20_6,0.917,1,0.957,0.917,1,0.957,0.917,1,0.957,0.917,1,0.957,0.917,1,0.957,0.917,1,0.957
SEIR01_sl1000_mr025_nv20_7,0.824,0.824,0.824,0.824,0.824,0.824,0.923,0.706,0.8,1,0.647,0.786,1,0.647,0.786,1,0.647,0.786
SEIR01_sl1000_mr025_nv20_8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,1,1,1,1,0.917,0.957,1,0.917,0.957,1,0.917,0.957,1,0.917,0.957,1,0.917,0.957
SEIR01_sl1000_mr025_nv5_1,0.848,0.683,0.757,0.844,0.659,0.74,0.897,0.634,0.743,0.926,0.61,0.735,0.923,0.585,0.716,0.923,0.585,0.716
SEIR01_sl1000_mr025_nv5_10,0.92,0.697,0.793,0.917,0.667,0.772,1,0.485,0.653,1,0.364,0.533,1,0.303,0.465,1,0.303,0.465
SEIR01_sl1000_mr025_nv5_11,0.812,0.684,0.743,0.812,0.684,0.743,0.846,0.579,0.688,0.818,0.474,0.6,0.818,0.474,0.6,0.818,0.474,0.6
SEIR01_sl1000_mr025_nv5_12,0.824,0.737,0.778,0.824,0.737,0.778,0.769,0.526,0.625,0.75,0.316,0.444,0.75,0.316,0.444,0.75,0.316,0.444
SEIR01_sl1000_mr025_nv5_13,0.917,0.917,0.917,0.917,0.917,0.917,0.9,0.75,0.818,0.9,0.75,0.818,0.9,0.75,0.818,0.9,0.75,0.818
SEIR01_sl1000_mr025_nv5_14,0.818,0.9,0.857,0.81,0.85,0.829,0.842,0.8,0.821,0.824,0.7,0.757,0.824,0.7,0.757,0.824,0.7,0.757
SEIR01_sl1000_mr025_nv5_15,0.731,0.704,0.717,0.75,0.667,0.706,0.765,0.481,0.591,0.733,0.407,0.524,0.786,0.407,0.537,0.786,0.407,0.537
SEIR01_sl1000_mr025_nv5_16,0.944,0.944,0.944,0.944,0.944,0.944,0.938,0.833,0.882,0.938,0.833,0.882,0.938,0.833,0.882,0.938,0.833,0.882
SEIR01_sl1000_mr025_nv5_17,0.909,0.909,0.909,0.909,0.909,0.909,0.875,0.636,0.737,0.857,0.545,0.667,0.857,0.545,0.667,0.857,0.545,0.667
SEIR01_sl1000_mr025_nv5_18,0.842,0.681,0.753,0.889,0.681,0.771,0.967,0.617,0.753,1,0.553,0.712,1,0.553,0.712,1,0.532,0.694
SEIR01_sl1000_mr025_nv5_19,0.948,0.948,0.948,0.947,0.931,0.939,0.978,0.759,0.854,0.976,0.707,0.82,0.976,0.707,0.82,0.976,0.707,0.82
SEIR01_sl1000_mr025_nv5_2,0.75,0.562,0.643,0.75,0.562,0.643,0.667,0.375,0.48,0.625,0.312,0.417,0.625,0.312,0.417,0.833,0.312,0.455
SEIR01_sl1000_mr025_nv5_20,0.652,0.625,0.638,0.652,0.625,0.638,0.667,0.583,0.622,0.688,0.458,0.55,0.688,0.458,0.55,0.688,0.458,0.55
SEIR01_sl1000_mr025_nv5_3,0.727,0.8,0.762,0.8,0.8,0.8,0.778,0.7,0.737,0.75,0.6,0.667,0.75,0.6,0.667,0.75,0.6,0.667
SEIR01_sl1000_mr025_nv5_4,0.881,0.74,0.804,0.923,0.72,0.809,0.914,0.64,0.753,0.9,0.54,0.675,0.897,0.52,0.658,0.897,0.52,0.658
SEIR01_sl1000_mr025_nv5_5,0.758,0.49,0.595,0.758,0.49,0.595,0.833,0.392,0.533,0.895,0.333,0.486,0.895,0.333,0.486,0.895,0.333,0.486
SEIR01_sl1000_mr025_nv5_6,0.75,0.75,0.75,0.75,0.75,0.75,0.714,0.625,0.667,0.667,0.5,0.571,0.667,0.5,0.571,0.667,0.5,0.571
SEIR01_sl1000_mr025_nv5_7,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
SEIR01_sl1000_mr025_nv5_8,0.818,0.783,0.8,0.818,0.783,0.8,0.824,0.609,0.7,0.875,0.609,0.718,0.929,0.565,0.703,0.929,0.565,0.703
SEIR01_sl1000_mr025_nv5_9,0.889,0.889,0.889,0.889,0.889,0.889,0.875,0.778,0.824,1,0.556,0.714,1,0.556,0.714,1,0.556,0.714
SEIR01_sl1000_mr05_nv10_1,0.909,0.769,0.833,0.909,0.769,0.833,0.857,0.462,0.6,0.857,0.462,0.6,0.857,0.462,0.6,0.857,0.462,0.6
SEIR01_sl1000_mr05_nv10_10,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,0.758,0.781,0.769,0.828,0.75,0.787,0.815,0.688,0.746,0.815,0.688,0.746,0.846,0.688,0.759,0.846,0.688,0.759
SEIR01_sl1000_mr05_nv10_12,0.889,0.828,0.857,0.906,0.828,0.865,0.92,0.793,0.852,0.932,0.707,0.804,0.932,0.707,0.804,0.932,0.707,0.804
SEIR01_sl1000_mr05_nv10_13,0.875,0.875,0.875,0.875,0.875,0.875,0.8,0.5,0.615,0.75,0.375,0.5,0.75,0.375,0.5,0.75,0.375,0.5
SEIR01_sl1000_mr05_nv10_14,0.853,0.744,0.795,0.9,0.692,0.783,0.96,0.615,0.75,1,0.615,0.762,1,0.615,0.762,1,0.615,0.762
SEIR01_sl1000_mr05_nv10_15,0.875,0.875,0.875,0.867,0.812,0.839,0.923,0.75,0.828,0.917,0.688,0.786,0.917,0.688,0.786,0.917,0.688,0.786
