dataset,prec_50,rec_50,f1_50,prec_60,rec_60,f1_60,prec_70,rec_70,f1_70,prec_80,rec_80,f1_80,prec_90,rec_90,f1_90,prec_100,rec_100,f1_100
SIR01_sl250_mr15_nv10_3,0.643,0.643,0.643,0.692,0.643,0.667,0.75,0.643,0.692,0.818,0.643,0.72,0.818,0.643,0.72,1,0.5,0.667
SIR01_sl250_mr15_nv10_4,0.545,0.5,0.522,0.545,0.5,0.522,0.545,0.5,0.522,0.545,0.5,0.522,0.545,0.5,0.522,0.545,0.5,0.522
SIR01_sl250_mr15_nv10_5,0.727,0.889,0.8,0.8,0.889,0.842,0.75,0.667,0.706,0.75,0.667,0.706,0.75,0.667,0.706,0.75,0.667,0.706
SIR01_sl250_mr15_nv10_6,0.488,0.465,0.476,0.472,0.395,0.43,0.467,0.326,0.384,0.56,0.326,0.412,0.565,0.302,0.394,0.571,0.279,0.375
SIR01_sl250_mr15_nv10_7,0.676,0.561,0.613,0.676,0.561,0.613,0.759,0.537,0.629,0.808,0.512,0.627,0.8,0.488,0.606,0.8,0.488,0.606
SIR01_sl250_mr15_nv10_8,0.714,0.556,0.625,0.714,0.556,0.625,0.75,0.333,0.462,0.75,0.333,0.462,0.667,0.222,0.333,0.667,0.222,0.333
SIR01_sl250_mr15_nv10_9,0.5,0.4,0.444,0.5,0.4,0.444,0.5,0.3,0.375,0.5,0.3,0.375,0.5,0.3,0.375,0.5,0.3,0.375
SIR01_sl500_mr15_nv10_1,1,0.4,0.571,1,0.4,0.571,1,0.4,0.571,1,0.4,0.571,1,0.4,0.571,1,0.4,0.571
SIR01_sl500_mr15_nv10_10,0.636,0.538,0.583,0.6,0.462,0.522,0.6,0.462,0.522,0.556,0.385,0.455,0.5,0.308,0.381,0.5,0.308,0.381
SIR01_sl500_mr15_nv10_11,0.857,0.706,0.774,0.833,0.588,0.69,0.833,0.588,0.69,0.875,0.412,0.56,0.875,0.412,0.56,0.875,0.412,0.56
SIR01_sl500_mr15_nv10_12,0.5,0.5,0.5,0.6,0.5,0.545,0.6,0.5,0.545,0.6,0.5,0.545,0.6,0.5,0.545,0.6,0.5,0.545
SIR01_sl500_mr15_nv10_13,0.625,0.714,0.667,0.714,0.714,0.714,0.5,0.286,0.364,0.667,0.286,0.4,0.667,0.286,0.4,0.667,0.286,0.4
SIR01_sl500_mr15_nv10_14,0.75,0.538,0.627,0.75,0.538,0.627,0.741,0.513,0.606,0.826,0.487,0.613,0.826,0.487,0.613,0.826,0.487,0.613
SIR01_sl500_mr15_nv10_15,0.594,0.633,0.613,0.633,0.633,0.633,0.64,0.533,0.582,0.65,0.433,0.52,0.65,0.433,0.52,0.65,0.433,0.52
SIR01_sl500_mr15_nv10_16,0.8,0.8,0.8,0.8,0.8,0.8,0.889,0.8,0.842,0.875,0.7,0.778,0.875,0.7,0.778,0.875,0.7,0.778
SIR01_sl500_mr15_nv10_17,0.692,0.692,0.692,0.75,0.692,0.72,0.75,0.692,0.72,0.75,0.692,0.72,0.75,0.692,0.72,0.75,0.692,0.72
SIR01_sl500_mr15_nv10_18,0.7,0.56,0.622,0.765,0.52,0.619,0.75,0.48,0.585,0.8,0.48,0.6,0.8,0.48,0.6,0.8,0.48,0.6
SIR01_sl500_mr15_nv10_19,0.842,0.593,0.696,0.842,0.593,0.696,0.833,0.556,0.667,0.882,0.556,0.682,0.938,0.556,0.698,0.938,0.556,0.698
SIR01_sl500_mr15_nv10_2,0.7,0.667,0.683,0.737,0.667,0.7,0.812,0.619,0.703,0.812,0.619,0.703,0.812,0.619,0.703,0.812,0.619,0.703
SIR01_sl500_mr15_nv10_20,0.9,0.72,0.8,0.9,0.72,0.8,0.895,0.68,0.773,0.882,0.6,0.714,0.875,0.56,0.683,0.875,0.56,0.683
SIR01_sl500_mr15_nv10_3,0.75,0.632,0.686,0.75,0.632,0.686,0.75,0.632,0.686,0.857,0.632,0.727,0.857,0.632,0.727,0.857,0.632,0.727
SIR01_sl500_mr15_nv10_4,0.895,0.694,0.782,0.892,0.673,0.767,0.912,0.633,0.747,0.935,0.592,0.725,0.966,0.571,0.718,0.966,0.571,0.718
SIR01_sl500_mr15_nv10_5,0.767,0.635,0.695,0.78,0.615,0.688,0.857,0.577,0.69,0.893,0.481,0.625,0.893,0.481,0.625,0.962,0.481,0.641
SIR01_sl500_mr15_nv10_6,0.933,0.966,0.949,0.966,0.966,0.966,1,0.862,0.926,1,0.793,0.885,1,0.793,0.885,1,0.793,0.885
SIR01_sl500_mr15_nv10_7,0.778,1,0.875,0.75,0.857,0.8,0.8,0.571,0.667,0.75,0.429,0.545,0.75,0.429,0.545,0.75,0.429,0.545
SIR01_sl500_mr15_nv10_8,0.6,0.375,0.462,0.75,0.375,0.5,0.75,0.375,0.5,0.75,0.375,0.5,0.75,0.375,0.5,0.75,0.375,0.5
SIR01_sl500_mr15_nv10_9,0.804,0.649,0.718,0.868,0.579,0.695,0.853,0.509,0.637,0.862,0.439,0.581,0.889,0.421,0.571,0.958,0.404,0.568
,0.772537769784174,0.69819784172662,0.726679856115109,0.787980215827339,0.67798201438849,0.721723021582735,0.813264388489209,0.599318345323741,0.680579136690648,0.837584532374101,0.550678057553957,0.651602517985612,0.843251798561151,0.542577338129497,0.646444244604317,0.846643884892087,0.539938848920863,0.645228417266188
