dataset,prec_50,rec_50,f1_50,prec_60,rec_60,f1_60,prec_70,rec_70,f1_70,prec_80,rec_80,f1_80,prec_90,rec_90,f1_90,prec_100,rec_100,f1_100
SIR01_sl500_mr15_nv10_11,0.667,0.588,0.625,0.75,0.529,0.621,0.9,0.529,0.667,0.9,0.529,0.667,0.9,0.529,0.667,0.9,0.529,0.667
SIR01_sl500_mr15_nv10_12,0.667,0.667,0.667,0.667,0.667,0.667,0.6,0.5,0.545,0.6,0.5,0.545,0.6,0.5,0.545,0.6,0.5,0.545
SIR01_sl500_mr15_nv10_13,0.571,0.571,0.571,0.667,0.571,0.615,0.667,0.571,0.615,0.667,0.571,0.615,0.667,0.571,0.615,0.667,0.571,0.615
SIR01_sl500_mr15_nv10_14,0.611,0.564,0.587,0.667,0.564,0.611,0.677,0.538,0.6,0.778,0.538,0.636,0.778,0.538,0.636,0.778,0.538,0.636
SIR01_sl500_mr15_nv10_15,0.545,0.6,0.571,0.581,0.6,0.59,0.581,0.6,0.59,0.581,0.6,0.59,0.581,0.6,0.59,0.581,0.6,0.59
SIR01_sl500_mr15_nv10_16,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SIR01_sl500_mr15_nv10_17,0.769,0.769,0.769,0.75,0.692,0.72,0.75,0.692,0.72,0.75,0.692,0.72,0.75,0.692,0.72,0.75,0.692,0.72
SIR01_sl500_mr15_nv10_18,0.583,0.56,0.571,0.609,0.56,0.583,0.667,0.56,0.609,0.737,0.56,0.636,0.737,0.56,0.636,0.737,0.56,0.636
SIR01_sl500_mr15_nv10_19,0.72,0.667,0.692,0.75,0.667,0.706,0.818,0.667,0.735,0.833,0.556,0.667,0.833,0.556,0.667,0.833,0.556,0.667
SIR01_sl500_mr15_nv10_2,0.727,0.762,0.744,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.737,0.667,0.7
SIR01_sl500_mr15_nv10_20,0.833,0.8,0.816,0.833,0.8,0.816,0.9,0.72,0.8,0.9,0.72,0.8,0.9,0.72,0.8,0.9,0.72,0.8
SIR01_sl500_mr15_nv10_3,0.75,0.789,0.769,0.75,0.789,0.769,0.75,0.789,0.769,0.75,0.789,0.769,0.765,0.684,0.722,0.8,0.632,0.706
SIR01_sl500_mr15_nv10_4,0.792,0.776,0.784,0.837,0.735,0.783,0.854,0.714,0.778,0.914,0.653,0.762,0.914,0.653,0.762,0.914,0.653,0.762
SIR01_sl500_mr15_nv10_5,0.72,0.692,0.706,0.783,0.692,0.735,0.829,0.654,0.731,0.838,0.596,0.697,0.838,0.596,0.697,0.838,0.596,0.697
SIR01_sl500_mr15_nv10_6,0.935,1,0.967,0.933,0.966,0.949,0.933,0.966,0.949,0.933,0.966,0.949,0.933,0.966,0.949,0.933,0.966,0.949
SIR01_sl500_mr15_nv10_7,0.778,1,0.875,0.778,1,0.875,0.75,0.857,0.8,0.75,0.857,0.8,0.75,0.857,0.8,0.75,0.857,0.8
SIR01_sl500_mr15_nv10_8,0.571,0.5,0.533,0.571,0.5,0.533,0.5,0.375,0.429,0.5,0.375,0.429,0.75,0.375,0.5,0.75,0.375,0.5
SIR01_sl500_mr15_nv10_9,0.61,0.632,0.621,0.686,0.614,0.648,0.739,0.596,0.66,0.727,0.561,0.634,0.762,0.561,0.646,0.762,0.561,0.646
,0.727642086330937,0.737124100719425,0.729841726618706,0.742489208633094,0.721365107913669,0.728176258992807,0.756717625899281,0.70604856115108,0.725737410071944,0.771442446043167,0.686658273381296,0.720228417266188,0.781595323741009,0.673426258992807,0.716017985611511,0.78606474820144,0.667742805755396,0.714381294964029
