dataset,tnet_old_prec,tnet_old_rec,tnet_old_f1,tnet_new_prec,tnet_new_rec,tnet_new_f1
SEIR015_sl1000_mr0125_nv10_1,0.921,0.959,0.94,0.897,0.712,0.794
SEIR015_sl1000_mr0125_nv10_10,0.882,0.789,0.833,0.867,0.684,0.765
SEIR015_sl1000_mr0125_nv10_11,0.692,0.692,0.692,0.818,0.692,0.75
SEIR015_sl1000_mr0125_nv10_12,0.857,0.857,0.857,0.833,0.714,0.769
SEIR015_sl1000_mr0125_nv10_13,0.96,0.96,0.96,0.976,0.8,0.879
SEIR015_sl1000_mr0125_nv10_14,0.737,0.808,0.771,0.827,0.827,0.827
SEIR015_sl1000_mr0125_nv10_15,0.674,0.689,0.681,0.852,0.511,0.639
SEIR015_sl1000_mr0125_nv10_16,0.729,0.81,0.767,0.697,0.73,0.713
SEIR015_sl1000_mr0125_nv10_17,0.606,0.769,0.678,0.679,0.731,0.704
SEIR015_sl1000_mr0125_nv10_18,0.636,0.7,0.667,0.778,0.7,0.737
SEIR015_sl1000_mr0125_nv10_19,0.621,0.581,0.6,0.8,0.516,0.627
SEIR015_sl1000_mr0125_nv10_2,0.857,0.75,0.8,0.833,0.625,0.714
SEIR015_sl1000_mr0125_nv10_20,0.857,0.878,0.867,0.971,0.829,0.895
SEIR015_sl1000_mr0125_nv10_3,0.727,0.889,0.8,0.778,0.778,0.778
SEIR015_sl1000_mr0125_nv10_4,0.8,0.8,0.8,1,0.8,0.889
SEIR015_sl1000_mr0125_nv10_5,0.816,0.608,0.697,0.773,0.333,0.466
SEIR015_sl1000_mr0125_nv10_6,0.917,0.943,0.93,0.875,0.6,0.712
SEIR015_sl1000_mr0125_nv10_7,0.729,0.75,0.739,0.772,0.647,0.704
SEIR015_sl1000_mr0125_nv10_8,0.619,0.722,0.667,0.706,0.667,0.686
SEIR015_sl1000_mr0125_nv10_9,0.476,0.476,0.476,0.625,0.476,0.541
SEIR015_sl1000_mr025_nv10_1,0.8,0.8,0.8,0.9,0.9,0.9
SEIR015_sl1000_mr025_nv10_10,0.909,0.909,0.909,0.8,0.364,0.5
SEIR015_sl1000_mr025_nv10_11,0.868,0.821,0.844,0.82,0.732,0.774
