dataset,tnet_old_tp,tnet_old_fp,tnet_old_fn,tnet_new_tp,tnet_new_fp,tnet_new_fn
SIR01_sl1000_mr075_nv10_1,47,10,10,45,9,12
SIR01_sl1000_mr075_nv10_10,6,2,2,6,0,2
SIR01_sl1000_mr075_nv10_11,7,0,0,7,0,0
SIR01_sl1000_mr075_nv10_12,25,3,5,25,3,5
SIR01_sl1000_mr075_nv10_13,9,5,5,7,2,7
SIR01_sl1000_mr075_nv10_14,4,3,3,5,2,2
SIR01_sl1000_mr075_nv10_15,5,1,1,5,1,1
SIR01_sl1000_mr075_nv10_16,17,1,1,17,3,1
SIR01_sl1000_mr075_nv10_17,46,15,25,43,10,28
SIR01_sl1000_mr075_nv10_18,9,2,2,10,2,1
SIR01_sl1000_mr075_nv10_19,5,4,6,3,1,8
SIR01_sl1000_mr075_nv10_2,6,4,5,7,0,4
SIR01_sl1000_mr075_nv10_20,19,10,11,20,5,10
SIR01_sl1000_mr075_nv10_3,6,5,5,4,2,7
SIR01_sl1000_mr075_nv10_4,30,9,8,30,8,8
SIR01_sl1000_mr075_nv10_5,47,12,17,46,4,18
SIR01_sl1000_mr075_nv10_6,6,2,2,6,2,2
SIR01_sl1000_mr075_nv10_7,21,3,3,20,2,4
SIR01_sl1000_mr075_nv10_8,10,3,6,9,2,7
SIR01_sl1000_mr075_nv10_9,18,8,9,17,2,10
SIR01_sl1000_mr15_nv10_10,23,7,9,21,5,11
SIR01_sl1000_mr15_nv10_11,7,2,5,7,1,5
SIR01_sl1000_mr15_nv10_12,18,5,6,16,3,8
SIR01_sl1000_mr15_nv10_14,8,0,0,8,0,0
SIR01_sl1000_mr15_nv10_15,20,16,18,18,8,20
SIR01_sl1000_mr15_nv10_16,6,1,1,5,3,2
SIR01_sl1000_mr15_nv10_17,16,2,4,15,0,5
SIR01_sl1000_mr15_nv10_18,49,19,20,46,4,23
SIR01_sl1000_mr15_nv10_19,8,1,1,8,1,1
SIR01_sl1000_mr15_nv10_20,7,2,2,7,3,2
SIR01_sl1000_mr15_nv10_3,47,8,12,46,6,13
SIR01_sl1000_mr15_nv10_5,9,1,1,8,1,2
SIR01_sl1000_mr15_nv10_6,7,0,0,7,0,0
SIR01_sl1000_mr15_nv10_7,38,7,12,34,6,16
SIR01_sl1000_mr15_nv10_8,8,2,2,6,1,4
SIR01_sl1000_mr15_nv10_9,14,7,7,15,4,6
SIR01_sl1000_mr15_nv20_1,23,6,9,20,3,12
SIR01_sl1000_mr15_nv20_10,10,3,3,9,0,4
SIR01_sl1000_mr15_nv20_11,50,10,9,51,8,8
SIR01_sl1000_mr15_nv20_12,9,3,6,8,1,7
SIR01_sl1000_mr15_nv20_13,5,1,1,5,1,1
SIR01_sl1000_mr15_nv20_14,2,3,3,2,3,3
SIR01_sl1000_mr15_nv20_15,6,8,8,5,5,9
SIR01_sl1000_mr15_nv20_16,18,2,3,18,1,3
SIR01_sl1000_mr15_nv20_17,10,4,4,10,4,4
SIR01_sl1000_mr15_nv20_18,27,3,3,27,1,3
SIR01_sl1000_mr15_nv20_19,45,2,6,42,3,9
SIR01_sl1000_mr15_nv20_2,6,4,4,5,1,5
SIR01_sl1000_mr15_nv20_20,11,3,3,12,2,2
SIR01_sl1000_mr15_nv20_3,4,1,1,3,0,2
SIR01_sl1000_mr15_nv20_4,51,13,18,50,5,19
SIR01_sl1000_mr15_nv20_5,7,3,3,6,2,4
SIR01_sl1000_mr15_nv20_6,7,2,1,7,2,1
SIR01_sl1000_mr15_nv20_7,23,5,5,24,2,4
SIR01_sl1000_mr15_nv20_8,38,6,10,38,3,10
SIR01_sl1000_mr15_nv20_9,18,5,8,18,2,8
SIR01_sl1000_mr15_nv5_1,18,6,10,17,4,11
SIR01_sl1000_mr15_nv5_10,8,3,3,8,0,3
SIR01_sl1000_mr15_nv5_11,6,3,3,5,2,4
SIR01_sl1000_mr15_nv5_12,13,9,10,12,5,11
SIR01_sl1000_mr15_nv5_13,13,3,3,13,4,3
SIR01_sl1000_mr15_nv5_14,17,5,5,14,4,8
SIR01_sl1000_mr15_nv5_15,35,10,10,31,8,14
SIR01_sl1000_mr15_nv5_16,4,5,5,4,4,5
SIR01_sl1000_mr15_nv5_17,7,1,1,7,1,1
SIR01_sl1000_mr15_nv5_18,7,2,2,7,0,2
SIR01_sl1000_mr15_nv5_19,12,7,9,11,4,10
SIR01_sl1000_mr15_nv5_2,21,12,14,21,7,14
SIR01_sl1000_mr15_nv5_20,11,3,6,11,1,6
SIR01_sl1000_mr15_nv5_3,5,3,4,2,3,7
SIR01_sl1000_mr15_nv5_4,13,6,12,11,1,14
SIR01_sl1000_mr15_nv5_5,8,3,3,6,3,5
SIR01_sl1000_mr15_nv5_6,12,5,11,11,2,12
SIR01_sl1000_mr15_nv5_7,4,3,4,4,0,4
SIR01_sl1000_mr15_nv5_8,3,5,5,3,2,5
SIR01_sl1000_mr15_nv5_9,26,14,21,27,5,20
SIR01_sl1000_mr3_nv10_1,23,4,7,22,3,8
SIR01_sl1000_mr3_nv10_10,7,0,2,6,0,3
SIR01_sl1000_mr3_nv10_11,40,12,17,39,4,18
SIR01_sl1000_mr3_nv10_12,22,8,12,23,6,11
SIR01_sl1000_mr3_nv10_13,24,6,12,22,4,14
SIR01_sl1000_mr3_nv10_14,24,4,4,24,3,4
SIR01_sl1000_mr3_nv10_15,6,3,3,3,1,6
SIR01_sl1000_mr3_nv10_16,25,5,7,25,2,7
SIR01_sl1000_mr3_nv10_17,8,2,2,8,2,2
SIR01_sl1000_mr3_nv10_18,18,5,6,17,3,7
SIR01_sl1000_mr3_nv10_19,13,7,17,14,3,16
SIR01_sl1000_mr3_nv10_2,7,2,2,7,2,2
SIR01_sl1000_mr3_nv10_20,8,4,4,8,4,4
SIR01_sl1000_mr3_nv10_3,14,6,6,14,2,6
SIR01_sl1000_mr3_nv10_4,11,1,1,9,1,3
SIR01_sl1000_mr3_nv10_5,20,7,8,19,4,9
SIR01_sl1000_mr3_nv10_6,32,17,22,30,9,24
SIR01_sl1000_mr3_nv10_7,15,4,8,13,3,10
SIR01_sl1000_mr3_nv10_8,6,1,4,6,0,4
SIR01_sl1000_mr3_nv10_9,18,3,11,16,0,13
SIR01_sl250_mr15_nv10_1,10,6,7,10,7,7
SIR01_sl250_mr15_nv10_10,30,30,26,32,17,24
SIR01_sl250_mr15_nv10_11,12,14,12,12,8,12
SIR01_sl250_mr15_nv10_12,12,12,7,11,8,8
SIR01_sl250_mr15_nv10_13,6,7,7,5,4,8
SIR01_sl250_mr15_nv10_14,7,13,8,7,9,8
SIR01_sl250_mr15_nv10_15,3,2,5,2,2,6
SIR01_sl250_mr15_nv10_16,14,12,9,14,12,9
SIR01_sl250_mr15_nv10_17,6,1,1,7,0,0
SIR01_sl250_mr15_nv10_18,13,13,7,13,10,7
SIR01_sl250_mr15_nv10_19,6,2,1,6,2,1
SIR01_sl250_mr15_nv10_2,6,5,3,6,6,3
SIR01_sl250_mr15_nv10_20,3,5,4,3,4,4
SIR01_sl250_mr15_nv10_3,10,4,4,9,5,5
SIR01_sl250_mr15_nv10_4,6,7,6,6,5,6
SIR01_sl250_mr15_nv10_5,8,2,1,8,3,1
SIR01_sl250_mr15_nv10_6,22,25,21,19,21,24
SIR01_sl250_mr15_nv10_7,26,15,15,23,11,18
SIR01_sl250_mr15_nv10_8,6,2,3,5,2,4
SIR01_sl250_mr15_nv10_9,5,4,5,4,4,6
SIR01_sl500_mr15_nv10_1,2,2,3,2,0,3
SIR01_sl500_mr15_nv10_10,7,6,6,7,4,6
SIR01_sl500_mr15_nv10_11,10,5,7,11,2,6
SIR01_sl500_mr15_nv10_12,4,2,2,3,3,3
SIR01_sl500_mr15_nv10_13,4,3,3,5,3,2
SIR01_sl500_mr15_nv10_14,22,14,17,21,7,18
SIR01_sl500_mr15_nv10_15,18,14,12,19,13,11
SIR01_sl500_mr15_nv10_16,8,2,2,8,2,2
SIR01_sl500_mr15_nv10_17,10,3,3,9,4,4
SIR01_sl500_mr15_nv10_18,14,10,11,14,6,11
SIR01_sl500_mr15_nv10_19,18,7,9,16,3,11
SIR01_sl500_mr15_nv10_2,16,6,5,14,6,7
SIR01_sl500_mr15_nv10_20,20,4,5,18,2,7
SIR01_sl500_mr15_nv10_3,15,5,4,12,4,7
SIR01_sl500_mr15_nv10_4,38,8,11,34,4,15
SIR01_sl500_mr15_nv10_5,36,14,16,33,9,19
SIR01_sl500_mr15_nv10_6,29,2,0,28,2,1
SIR01_sl500_mr15_nv10_7,7,2,0,7,2,0
SIR01_sl500_mr15_nv10_8,4,3,4,3,2,5
SIR01_sl500_mr15_nv10_9,36,21,21,37,8,20
