dataset,tnet_old_tp,tnet_old_fp,tnet_old_fn,tnet_new_tp,tnet_new_fp,tnet_new_fn
SEIR015_sl1000_mr05_nv10_4,21,14,11,19,14,13
SEIR015_sl1000_mr05_nv10_5,9,2,2,7,3,4
SEIR015_sl1000_mr05_nv10_6,27,4,3,17,4,13
SEIR015_sl1000_mr05_nv10_7,10,11,3,9,7,4
SEIR015_sl1000_mr05_nv10_8,31,8,5,26,7,10
SEIR015_sl1000_mr05_nv10_9,13,3,2,12,1,3
SEIR015_sl250_mr025_nv10_1,14,12,3,15,8,2
SEIR015_sl250_mr025_nv10_10,32,45,27,27,40,32
SEIR015_sl250_mr025_nv10_11,19,22,15,18,18,16
SEIR015_sl250_mr025_nv10_12,29,43,14,31,31,12
SEIR015_sl250_mr025_nv10_13,12,5,4,12,3,4
SEIR015_sl250_mr025_nv10_14,15,28,10,17,21,8
SEIR015_sl250_mr025_nv10_15,41,12,8,39,14,10
SEIR015_sl250_mr025_nv10_16,9,47,18,9,36,18
SEIR015_sl250_mr025_nv10_17,8,2,4,5,2,7
SEIR015_sl250_mr025_nv10_18,8,9,3,5,13,6
SEIR015_sl250_mr025_nv10_19,23,19,14,17,16,20
SEIR015_sl250_mr025_nv10_2,8,23,14,6,13,16
SEIR015_sl250_mr025_nv10_20,27,14,6,27,13,6
SEIR015_sl250_mr025_nv10_3,12,10,3,11,10,4
SEIR015_sl250_mr025_nv10_4,18,8,7,19,7,6
SEIR015_sl250_mr025_nv10_5,5,4,3,6,2,2
SEIR015_sl250_mr025_nv10_6,26,12,9,23,15,12
SEIR015_sl250_mr025_nv10_7,3,6,5,3,6,5
SEIR015_sl250_mr025_nv10_8,23,6,4,20,5,7
SEIR015_sl250_mr025_nv10_9,9,10,6,8,6,7
SEIR015_sl500_mr025_nv10_1,8,4,2,6,5,4
SEIR015_sl500_mr025_nv10_10,41,4,2,36,5,7
SEIR015_sl500_mr025_nv10_11,4,7,4,3,4,5
SEIR015_sl500_mr025_nv10_12,40,19,13,31,10,22
SEIR015_sl500_mr025_nv10_13,21,18,7,16,17,12
SEIR015_sl500_mr025_nv10_14,8,2,1,8,0,1
SEIR015_sl500_mr025_nv10_15,49,12,9,43,10,15
